City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Krasnoselkup,RU,65.7,82.4667,53.73,67,100,10.8,light rain
136,Kamensk-Uralskiy,RU,56.4185,61.9329,50.22,65,3,5.7,clear sky
137,Belaya Gora,RU,68.5333,146.4167,60.08,35,2,7.81,clear sky
138,Inta,RU,66.0317,60.1659,51.6,88,21,8.55,few clouds
139,Sakaiminato,JP,35.55,133.2333,71.53,81,99,6.55,moderate rain
140,Mount Gambier,AU,-37.8333,140.7667,49.51,93,100,7.58,light rain
141,Provideniya,RU,64.3833,-173.3,46.51,87,75,15.66,broken clouds
142,Zhigansk,RU,66.7697,123.3711,55.47,52,2,12.21,clear sky
143,Plettenberg Bay,ZA,-34.0527,23.3716,53.82,48,14,4.43,few clouds
144,Yeppoon,AU,-23.1333,150.7333,67.78,88,7,6.51,clear sky
145,Lasa,IT,46.6166,10.7002,56.03,96,100,4.09,overcast clouds
146,Northam,GB,51.0333,-4.2167,64.72,92,0,2.13,clear sky
147,Fethiye,TR,36.6217,29.1164,78.67,44,0,4.63,clear sky
148,Bilma,NE,18.6853,12.9164,93.92,14,14,9.48,few clouds
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,40,11.18,scattered clouds
150,Saldanha,ZA,-33.0117,17.9442,51.94,61,0,7.38,clear sky
151,Valparaiso,CL,-33.0393,-71.6273,52.48,62,0,14.25,clear sky
152,Turaiyur,IN,11.1667,78.6167,78.93,72,99,8.01,overcast clouds
153,Arys,KZ,42.4252,68.795,71.82,26,77,6.24,broken clouds
154,Laguna,US,38.421,-121.4238,99.14,37,1,12.66,clear sky
155,Pilibanga,IN,29.4916,74.079,90.88,56,90,13.22,overcast clouds
156,Kosh-Agach,RU,50.0,88.6667,45.09,71,2,1.99,clear sky
157,Leer,DE,53.2316,7.461,63.18,88,97,3.0,overcast clouds
158,Saskylakh,RU,71.9167,114.0833,53.53,61,86,13.67,overcast clouds
159,Inuvik,CA,68.3499,-133.7218,54.88,36,22,9.42,few clouds
160,Marathon,US,44.9,-89.7668,79.45,51,40,4.61,scattered clouds
161,Kayes,ML,14.0,-11.0,77.58,75,96,6.98,overcast clouds
162,Tolaga Bay,NZ,-38.3667,178.3,54.73,65,84,6.42,broken clouds
163,Mahebourg,MU,-20.4081,57.7,67.24,77,33,13.15,light rain
164,Mandalgovi,MN,45.7625,106.2708,73.27,49,100,6.04,overcast clouds
165,Moose Factory,CA,51.2585,-80.6094,71.28,47,96,2.28,overcast clouds
166,Fort Nelson,CA,58.8053,-122.7002,55.08,50,56,10.29,broken clouds
167,Cabo San Lucas,MX,22.8909,-109.9124,96.51,62,1,7.83,clear sky
168,Leshukonskoye,RU,64.8989,45.7622,53.89,92,71,4.7,broken clouds
169,Pavlovsk,RU,50.4578,40.1081,72.91,55,90,2.37,overcast clouds
170,Butaritari,KI,3.0707,172.7902,82.74,80,100,18.03,moderate rain
171,Khatanga,RU,71.9667,102.5,48.56,85,100,6.78,light rain
172,Cairns,AU,-16.9167,145.7667,70.07,100,72,0.0,broken clouds
173,Nikolskoye,RU,59.7035,30.7861,72.39,89,22,3.65,few clouds
174,Sorland,NO,67.667,12.6934,52.97,89,100,39.17,overcast clouds
175,Upernavik,GL,72.7868,-56.1549,42.93,80,100,10.71,overcast clouds
176,Dukat,RU,62.55,155.55,57.51,71,98,3.96,overcast clouds
177,Pangnirtung,CA,66.1451,-65.7125,57.52,54,6,2.82,clear sky
178,Mar Del Plata,AR,-38.0023,-57.5575,51.13,67,0,1.01,clear sky
179,Coahuayana,MX,18.7333,-103.6833,82.8,84,90,4.63,overcast clouds
180,Panacan,PH,9.2463,118.4082,79.23,84,100,3.2,light rain
181,Chandbali,IN,20.7833,86.7667,82.6,81,97,4.5,overcast clouds
182,Ketchikan,US,55.3422,-131.6461,58.12,79,100,3.83,light rain
183,Fare,PF,-16.7,-151.0167,80.15,71,79,18.37,broken clouds
184,Maceio,BR,-9.6658,-35.7353,72.84,100,75,1.14,broken clouds
185,Genhe,CN,50.7833,121.5167,61.9,94,0,3.42,clear sky
186,Thompson,CA,55.7435,-97.8558,82.56,42,40,10.36,smoke
187,Mionica,BA,44.8672,18.4631,73.2,46,41,3.31,scattered clouds
