City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Turukhansk,RU,2021-07-14 20:31:13,65.8167,87.9833,48.24,60,91,7.78
132,Lagoa,PT,2021-07-14 20:30:53,39.05,-27.9833,68.63,83,100,14.09
133,Mehamn,NO,2021-07-14 20:32:30,71.0357,27.8492,51.71,88,80,6.8
134,Isangel,VU,2021-07-14 20:30:47,-19.55,169.2667,72.32,80,83,14.92
135,Areosa,PT,2021-07-14 20:34:42,41.7178,-8.8571,78.08,66,88,16.46
136,Tawang,IN,2021-07-14 20:34:42,27.5833,91.8667,56.3,97,100,1.23
137,Port Blair,IN,2021-07-14 20:34:42,11.6667,92.75,80.89,84,70,6.89
138,Mogadishu,SO,2021-07-14 20:34:43,2.0371,45.3438,76.41,82,76,21.16
139,Mahebourg,MU,2021-07-14 20:30:39,-20.4081,57.7,70.25,78,40,11.5
140,Cravo Norte,CO,2021-07-14 20:34:43,6.3017,-70.2041,75.02,91,100,3.71
141,Great Bend,US,2021-07-14 20:34:44,38.3645,-98.7648,96.93,28,1,11.99
142,Aldan,RU,2021-07-14 20:34:44,58.6031,125.3894,58.28,80,100,2.91
143,Satana,IN,2021-07-14 20:34:44,20.5833,74.2,75.2,91,100,8.75
144,Mirnyy,RU,2021-07-14 20:34:45,62.5353,113.9611,52.56,78,100,10.94
145,Cabo San Lucas,MX,2021-07-14 20:31:18,22.8909,-109.9124,96.51,48,1,11.5
146,Brae,GB,2021-07-14 20:30:57,60.3964,-1.353,57.11,91,100,23.85
147,Khandyga,RU,2021-07-14 20:31:07,62.6667,135.6,65.91,59,56,4.38
148,Sorland,NO,2021-07-14 20:34:45,67.667,12.6934,57.27,82,75,8.84
149,Qaanaaq,GL,2021-07-14 20:30:43,77.484,-69.3632,39.04,93,100,2.3
150,Natal,BR,2021-07-14 20:31:59,-5.795,-35.2094,81.25,74,75,11.5
151,Balad,IQ,2021-07-14 20:34:46,34.0164,44.1453,96.96,15,0,16.4
152,Chapais,CA,2021-07-14 20:34:46,49.7834,-74.8492,67.8,78,75,11.12
153,Pevek,RU,2021-07-14 20:30:37,69.7008,170.3133,38.82,91,100,3.2
154,Grass Valley,US,2021-07-14 20:34:47,39.2191,-121.0611,98.04,23,1,1.01
155,Batagay,RU,2021-07-14 20:34:47,67.6333,134.6333,48.31,63,92,8.81
156,Kruisfontein,ZA,2021-07-14 20:31:15,-34.0033,24.7314,45.97,58,22,5.68
157,Arman,RU,2021-07-14 20:32:12,59.7,150.1667,63.28,70,98,7.63
158,Sitka,US,2021-07-14 20:28:16,57.0531,-135.33,55.29,82,90,3.44
159,Lompoc,US,2021-07-14 20:31:03,34.6391,-120.4579,82.54,71,1,14.97
160,Kavaratti,IN,2021-07-14 20:34:48,10.5669,72.642,82.69,83,97,19.89
161,Narathiwat,TH,2021-07-14 20:34:48,6.3333,101.75,74.98,89,100,3.13
162,Ladozhskaya,RU,2021-07-14 20:34:49,45.3081,39.935,70.86,45,0,8.25
163,Tabou,CI,2021-07-14 20:34:49,4.423,-7.3528,76.59,73,100,6.76
164,Souillac,MU,2021-07-14 20:33:24,-20.5167,57.5167,70.36,78,40,11.5
165,Mount Gambier,AU,2021-07-14 20:31:27,-37.8333,140.7667,53.51,94,75,11.5
166,Mahon,ES,2021-07-14 20:33:42,39.8885,4.2658,72.16,73,20,5.75
167,Katsuura,JP,2021-07-14 20:26:24,35.1333,140.3,76.19,89,94,4.59
168,Bengkulu,ID,2021-07-14 20:30:31,-3.8004,102.2655,75.07,70,100,4.05
169,Upernavik,GL,2021-07-14 20:32:06,72.7868,-56.1549,39.45,96,100,13.91
170,Funadhoo,MV,2021-07-14 20:34:50,6.15,73.2667,81.57,82,85,14.76
171,Cierna Nad Tisou,SK,2021-07-14 20:34:51,48.417,22.0887,82.02,58,14,6.8
172,Dezful,IR,2021-07-14 20:34:51,32.3811,48.4058,97.29,12,0,3.18
173,Namibe,AO,2021-07-14 20:31:54,-15.1961,12.1522,66.13,83,99,7.34
174,New Norfolk,AU,2021-07-14 20:30:50,-42.7826,147.0587,47.75,89,96,1.97
175,Tanout,NE,2021-07-14 20:34:51,14.9709,8.8879,94.37,31,100,5.84
176,Naze,JP,2021-07-14 20:33:17,28.3667,129.4833,78.69,83,100,6.06
177,Bathsheba,BB,2021-07-14 20:33:10,13.2167,-59.5167,86.61,66,40,19.57
178,Stornoway,GB,2021-07-14 20:34:52,58.2093,-6.3865,59.94,82,90,17.27
179,Key West,US,2021-07-14 20:32:37,24.5557,-81.7826,91.4,70,20,14.97
180,Mana,GF,2021-07-14 20:34:53,5.6592,-53.7767,79.2,87,89,10.71
181,Lata,PT,2021-07-14 20:30:38,40.1629,-8.3327,77.04,67,89,1.1
182,Kaeo,NZ,2021-07-14 20:30:37,-35.1,173.7833,44.33,94,8,1.92
183,Haines Junction,CA,2021-07-14 20:30:34,60.7522,-137.5108,46.69,91,100,3.11
184,Ostrovnoy,RU,2021-07-14 20:31:18,68.0531,39.5131,50.27,96,100,19.66
185,Tautira,PF,2021-07-14 20:31:05,-17.7333,-149.15,82.42,69,26,19.01
186,Taoudenni,ML,2021-07-14 20:31:26,22.6783,-3.9836,103.5,4,0,9.22
